Authors,Dates
['Melnick M'],1979-1-1
"['Nishijima M', 'Raetz C R']",1979-8-25
"['Burn J', 'Gibbens D']",1979-6-1
"['Zurawski G', 'Brown K D']",1979-5-5
"['Kan N C', 'Lautenberger J A', 'Edgell M H', 'Hutchison C A']",1979-5-15
"['Berman M L', 'Beckwith J']",1979-5-25
"['Berman M L', 'Beckwith J']",1979-5-25
"['Morris H P', 'Slaughter L J']",1979-3-1
"['Koizumi A', 'Dobashi Y', 'Tachibana Y']",1979-1-1
"['Normansell I D', 'Wood J T', 'Igwe C N', 'Holt G']",1979-6-1
"['Tates A D', 'Pearson P L', 'van der Ploeg M', 'de Vogel N']",1979-6-1
"['Benedict W F', 'Jones P A']",1979-3-1
"['Bootman J', 'Lodge D C', 'Whalley H E']",1979-6-1
['Ono B'],1979-1-1
['Oka A'],1979-4-1
"['Moore C W', 'Schmick A']",1979-9-7
"['Hahn S', 'Kim D S']",1978-1-1
"['Goebel W', 'Kollek R', 'Oertel W', 'Röllich G']",1978-11-1
"['Hanawalt P C', 'Cooper P K', 'Ganesan A K', 'Smith C A']",1979-1-1
['Catovsky D'],1979-8-1
['Nestmann E R'],1979-3-1
"['von Meyenburg K', 'Hansen F G', 'Riise E', 'Bergmans H E', 'Meijer M', 'Messer W']",1979-1-1
"['Kuempel P L', 'Duerr S A']",1979-1-1
"['Kolter R', 'Inuzuka M', 'Figurski D', 'Thomas C', 'Stalker D', 'Helinski D R']",1979-1-1
"['Kahn M L', 'Figurski D', 'Ito L', 'Helinski D R']",1979-1-1
['Bodmer W F'],1979-6-27
"['Skriabin K G', 'Kraev A S', 'Rubtsov P M', 'Baev A A']",1979-1-1
['Noebels J L'],1979-9-1
"['Kraus J', 'Soll D', 'Low K B']",1979-2-1
['Went L N'],1979-1-1
"['Beutin L', 'Achtman M']",1979-9-1
['Jeggo P'],1979-9-1
['Coetzee J N'],1979-4-1
"['Schwartz S S', 'Rich B H', 'Lucky A W', 'Straus F H', 'Gonen B', 'Wolfsdorf J', 'Thorp F W', 'Burrington J D', 'Madden J D', 'Rubenstein A H', 'Rosenfield R L']",1979-7-1
['Guarente L'],1979-4-5
"['Sodergren E J', 'Fox M S']",1979-6-5
"['Linn T', 'Goman M', 'Scaife J G']",1979-6-5
"['Julliot J S', 'Boistard P']",1979-6-20
"['Wallace L J', 'Wilcox G']",1979-6-20
"['Ono M', 'Kuwano M', 'Mizushima S']",1979-7-2
"['Charlier D', 'Crabeel M', 'Cunin R', 'Glansdorff N']",1979-7-2
"['Raibaud O', 'Roa M', 'Braun-Breton C', 'Schwartz M']",1979-7-24
"['Raibaud O', 'Clément J M', 'Hofnung M']",1979-7-24
"['Silhavy T J', 'Brickman E', 'Bassford P J', 'Casadaban M J', 'Shuman H A', 'Schwartz V', 'Guarente L', 'Schwartz M', 'Beckwith J R']",1979-7-24
"['Strobel R', 'Roszinsky-Köcher G', 'Röhrborn G']",1979-5-1
"['Watanabe T', 'Shimada T', 'Endo A']",1979-8-1
"['Jensen M K', 'Rasmussen G G', 'Ingeberg S']",1979-8-1
"['Herrmann J', 'Elejalde B R']",1979-5-1
"['Rüdiger H W', 'Haenisch F', 'Metzler M', 'Oesch F', 'Glatt H R']",1979-10-4
"['Pietrzyk J J', 'Turowski G']",1979-8-1
['Perkins H A'],1979-1-1
['Forget B G'],1979-10-1
"['Dagna Bricarelli F', 'Rasore Quartino A', 'Arslanian A', 'Doria Lamba Carbone L', 'Moscatelli P']",1978-11-30
"['Plant J', 'Glynn A A']",1979-7-1
"['Calos M', 'Johnsrud L', 'Miller J H']",1979-1-1
['Hansmann I'],1979-5-1
['Neel J V'],1979-5-1
['Moses M J'],1979-5-1
['Latt S A'],1979-5-1
"['Cooper T G', 'Gorski M', 'Turoscy V']",1979-6-1
['Reanney D C'],1978-1-1
['DiBerardino M A'],1979-1-1
"['Hardies S C', 'Hillen W', 'Goodman T C', 'Wells R D']",1979-10-25
"['Cumberlidge A G', 'Isono K']",1979-6-25
"['Meacock P A', 'Cohen S N']",1979-7-13
"['Hombrecher G', 'Vielmetter W']",1979-8-1
"['Radice C', 'Angrisano A', 'Genova R']",1979-10-13
"['Kozinets G I', 'Shishkanova Z G', 'Reshchikov V P', 'Bykova I A', 'Pogorelov V M']",1979-9-1
"['Zyskind J W', 'Deen L T', 'Smith D W']",1979-7-1
"['Sancar A', 'Rupp W D']",1979-7-1
"['Bhat S P', 'Piatigorsky J']",1979-7-1
"['Bell L', 'Byers B']",1979-7-1
"['Greer H', 'Fink G R']",1979-8-1
"['Côtes G', 'Chung Y S']",1979-6-1
"['Ascher N L', 'Simmons R L', 'Fryd D', 'Noreen H', 'Najarian J S']",1979-9-1
"['Caviness V S', 'Rakic P']",1978-1-1
['Sherratt D J'],1979-1-1
['Chandley A C'],1979-5-1
"['Shepard H M', 'Gelfand D H', 'Polisky B']",1979-10-1
"['Strathern J N', 'Newlon C S', 'Herskowitz I', 'Hicks J B']",1979-10-1
['Simpson J L'],1979-8-1
['Russell L B'],1979-8-1
"['Chandley A C', 'Speed R M']",1979-8-1
['Coutiño R R'],1979-8-1
['Tates A D'],1979-8-1
"['Hansmann I', 'Probeck H D']",1979-8-1
['Kapp R W'],1979-8-1
"['Morpurgo G', 'Bellincampi D', 'Gualandi G', 'Baldinelli L', 'Crescenzi O S']",1979-8-1
"['Hoppe I', 'Johnston H M', 'Biek D', 'Roth J R']",1979-5-1
"['Krasovskiĭ G N', 'Sokolovskiĭ V V']",1979-9-1
['Barendsen G W'],1979-7-1
"['Cheng Y S', 'Zipser D', 'Cheng C Y', 'Rolseth S J']",1979-10-1
"['Hulanicka M D', 'Hallquist S G', 'Kredich N M', 'Mojica-A T']",1979-10-1
"['Wickner R B', 'Leibowitz M J']",1979-10-1
"['Wanner B L', 'Sarthy A', 'Beckwith J']",1979-10-1
"['Anderson J J', 'Wilson J M', 'Oxender D L']",1979-11-1
['Forman J'],1979-12-1
"['McConville M L', 'Charles H P']",1979-7-1
['Coggins L W'],1979-7-1
"['Filutowicz M', 'Cieśla Z', 'Kłopotowski T']",1979-7-1
"['Katsumata R', 'Hashimoto H', 'Mitsuhashi S']",1979-1-1
"['Gualandi G', 'Bellincampi D', 'Puppo S']",1979-9-1
"['Hicks J', 'Strathern J N', 'Klar A J']",1979-11-29
"['Klar A J', 'Fogel S']",1979-9-1
['Toh-e A'],1979-8-1
['Covic M'],1978-10-1
"['Stalder G', 'Bühler E']",1979-9-1
"['Kohoutová M', 'Vojcík L', 'Günther E', 'Stark O']",1979-9-1
['Zankl H'],1979-1-1
"['Kozdroj H', 'Kłopotowski T']",1979-1-1
['Schinzel A'],1979-1-1
['Rimoin D L'],1979-1-1
"['Kjeldsberg C R', 'Nathwani B N', 'Rappaport H']",1979-12-1
"['Li M', 'Tzagoloff A']",1979-9-1
"['Conrad S E', 'Campbell J L']",1979-9-1
"['Ty A', 'Fine B']",1979-9-1
['Need J A'],1979-12-1
"['Iadgarov Kh T', ""Koval'tsova S V""]",1979-11-1
"['Weil D', 'Van Cong N', 'Gross M S', 'Frézal J']",1979-11-1
"['Săsărman A', 'Chartrand P', 'Lavoie M', 'Tardif D', 'Proschek R', 'Lapointe C']",1979-8-1
['Henry G'],1979-10-1
"['Postle K', 'Reznikoff W S']",1979-7-5
['Binns C H'],1979-10-1
"['Ostrowski J', 'Hulanicka D']",1979-9-1
"['Diaz R', 'Barnsley P', 'Pritchard R H']",1979-9-1
"['Kaiser K', 'Murray N E']",1979-9-1
"['Petes T D', 'Smolik-Utlaut S']",1979-9-1
"['Reynolds R J', 'Natarajan A T', 'Lohman P H']",1979-10-1
"['Averbeck D', 'Moustacchi E']",1979-10-1
"['Oud J L', 'Reutlinger A H', 'Branger J']",1979-10-1
['Garver K L'],1979-1-1
['Micou D'],1979-10-1
"['Rutgers C', 'Gruys E']",1979-11-15
['Uryvaeva I V'],1979-12-1
['Russell E S'],1979-1-1
"['Garnica A D', 'Frias J L']",1979-11-1
"['Shimada H', 'Suzuki K', 'Morita H', 'Akimoto T']",1979-9-1
"['Cole S T', 'Guest J R']",1979-12-1
"['Henson J M', 'Chu H', 'Irwin C A', 'Walker J R']",1979-8-1
"['Legrand P', 'Bouche J P', 'Louarn J M']",1979-12-1
"['Wada C', 'Yura T']",1979-12-1
"['Murray N E', 'Bruce S A', 'Murray K']",1979-8-15
"['Ono B I', 'Stewart J W', 'Sherman F']",1979-8-15
"['Burgess R R', 'Gross C A', 'Walter W', 'Lowe P A']",1979-10-1
"['Habermann P', 'Klaer R', 'Kühn S', 'Starlinger P']",1979-10-1
"['Schnier J', 'Isono K']",1979-11-1
"['de France H F', 'van den Berg H T']",1977-1-1
['Scholtissek C'],1979-11-9
"['Baranowska H', 'Putrament A']",1979-12-1
"['Foury F', 'Goffeau A']",1979-12-1
"['Svejgaard A', 'Ryder L P']",1979-1-1
"['Latt S A', 'Schreck R R', 'Loveday K S', 'Shuler C F']",1978-12-1
['Garson O M'],1979-1-1
['Siniscalco M'],1979-1-1
"['Harnden D G', 'Taylor A M']",1979-1-1
"['Winter W P', 'Hanash S M', 'Rucknagel D L']",1979-1-1
"['Morton N E', 'Lalouel J M']",1979-1-1
"['Melnick M', 'Myrianthopoulos N C', 'Paul N W']",1979-1-1
"['Bruce W R', 'Heddle J A']",1979-9-1
"['Atherly A G', 'Russell P']",1979-8-1
"['Dahlén G', 'Berg K']",1979-12-1
['Guest J R'],1979-12-1
"['Bal J', 'Kowalska I E', 'Maciejko D M', 'Wegleński P']",1979-12-1
"['Yansura D G', 'Goeddel D V', 'Kundu A', 'Caruthers M H']",1979-9-5
"['Guiney D G', 'Helinski D R']",1979-10-3
"['Chandler M', 'de la Tour E B', 'Willems D', 'Caro L']",1979-10-3
"['Szostak J W', 'Wu R']",1979-10-1
"['Wold W S', 'Green M']",1979-12-1
['Ott J'],1979-12-1
"['Lamm L U', 'Petersen G B']",1979-12-1
['Siniscalco M'],1979-12-1
"['Sherratt D J', 'Dougan G', 'Saul M', 'Sunar B', 'Twigg A', 'Warren G']",1979-1-1
"['Veltkamp E', 'van de Pol H', 'Stuitje A R', 'van den Elzen P J', 'Nijkamp H J']",1979-1-1
"['Shafferman A', 'Cohen S']",1979-1-1
"['Hála K', 'Vilhelmová M', 'Schulmannová J', 'Plachý J']",1979-1-1
"['Parma D H', 'Dill M', 'Slocum M K']",1979-7-1
"['Shaw K J', 'Berg C M']",1979-7-1
['Wickner R B'],1979-7-1
"['Csonka L N', 'Clark A J']",1979-10-1
"['Ou J T', 'Kuo L M']",1979-10-1
"['Stenszky V', 'Kozma L', 'Ambró I', 'Karmazsin L']",1978-1-1
"['Teng Y S', 'Jehan S', 'Lie-Injo L E']",1979-1-1
"['Blazey D L', 'Burns R O']",1979-1-1
"['Volkert M R', 'Spencer D F', 'Clark A J']",1979-1-1
"['Lucchini G', 'Carbone M L', 'Cocucci M', 'Sensi M L']",1979-1-1
['Little J W'],1979-1-1
['Meyer R J'],1979-1-1
"['Bresler S E', 'Krivonogov S V', 'Lanzov V A']",1979-1-1
['Bolotin-Fukuhara M'],1979-1-1
"['Sor F', 'Faye G']",1979-1-1
"['Sommer H', 'Cullum J', 'Saedler H']",1979-1-1
"['Roberts T', 'Martinelli S', 'Scazzocchio C']",1979-1-1
"['Barrett E L', 'Jackson C E', 'Fukumoto H T', 'Chang G W']",1979-1-1
['Drygalska-Pozorek A'],1979-12-1
"['DiPaolo J A', 'Popescu N C']",1979-1-1
['Forni A'],1979-1-1
"['Hemminki K', 'Sorsa M', 'Vainio H']",1979-12-1
"['Chen S', 'Ascher N L', 'Bach F H', 'Simmons R L']",1979-1-1
['Galjaard H'],1979-11-1
"['Paterson M C', 'Smith P J']",1979-1-1
"['Clark A J', 'Warren G J']",1979-1-1
"['Bootsma D', 'McAlpine P J']",1979-1-1
"['Francke U', 'Weitkamp L R']",1979-1-1
"['Meera Khan P', 'Robson E B']",1979-1-1
"['de la Chapelle A', 'Miller O J']",1979-1-1
"['Ferguson-Smith M A', 'Westerveld A']",1979-1-1
"['Steffensen D M', 'Gosden J R']",1979-1-1
"['Cook P J', 'Hamerton J L']",1979-1-1
"['Bienzle U', 'Guggenmoos-Holzmann I']",1979-12-1
"['Philip T', 'Fraisse J', 'Philip I', 'Godet J', 'Lauras B', 'Guibaud P', 'Robert J M']",1979-6-1
['Falkinham J O'],1979-10-2
"['Ike Y', 'Hashimoto H', 'Mitsuhashi S']",1979-1-1
"['Mejsnarová B', 'Jandová A', 'Novotná J', 'Motycka K', 'Heyberger K', 'Sanitrák J', 'Coupek J']",1979-12-1
"['Gionfriddo M A', 'Vigue C L', 'Weisgram P A']",1979-12-1
"['Kuhn E', 'Fiehn W', 'Seiler D', 'Schröder J M']",1979-3-1
['Cruz-Coke R'],1979-6-1
"['Graf L H', 'Urlaub G', 'Chasin L A']",1979-11-1
"['Rine J', 'Strathern J N', 'Hicks J B', 'Herskowitz I']",1979-12-1
"['Secker-Walker L M', 'Swansbury G J', 'Lawler S D', 'Hardisty R M']",1979-1-1
"['Crumpacker D W', 'Cederlöf R', 'Friberg L', 'Kimberling W J', 'Sörensen S', 'Vandenberg S G', 'Williams J S', 'McClearn G E', 'Grevér B', 'Iyer H', 'Krier M J', 'Pedersen N L', 'Price R A', 'Roulette I']",1979-1-1
"['Savettieri G', 'Serra S', 'Di Rosa A E', 'Daricello B', 'Dattola R', 'Giordano D']",1979-9-1
"['Dromashko S E', 'Troitskii N A']",1979-11-1
"['Ruffié J', 'Bernard J']",1979-1-1
['Saggese R'],1979-12-31
"['Briggs M H', 'Briggs M']",1979-1-1
['Javid J'],1978-1-1
"['Coleman W G', 'Goebel P J', 'Leive L']",1977-5-1
"['Lam K B', 'Marmur J']",1977-5-1
"['Nadler C F', 'Zhurkevich N M', 'Kozlovskii A I', 'Nadler C F']",1978-1-1
"['Zahler S A', 'Korman R Z', 'Rosenthal R', 'Hemphill H E']",1977-1-1
"['Bayer U', 'Bauknecht T']",1977-1-15
"['Lomovskaya N D', 'Voeykova T A', 'Mkrtumian N M']",1977-1-1
['Hartl D L'],1977-1-1
"['Michelmann H W', 'Götze G', 'Paufler S']",1977-1-1
"['Preus M', 'Kaplan P', 'Kirkham T H']",1977-1-1
"['Glover D M', 'Hogness D S']",1977-2-1
"['White R L', 'Hogness D S']",1977-2-1
"['Wellauer P K', 'Dawid I B']",1977-2-1
"['Camacho A', 'Jiménez F', 'De La Torre J', 'Carrascosa J L', 'Mellado R P', 'Vásquez C', 'Viñuela E', 'Salas M']",1977-2-15
"['Martin P', 'Martin A', 'Shearn A']",1977-2-1
['Sturelid S'],1977-2-3
"['Goldstein A I', 'Dumars K W']",1977-3-28
['Polesky H F'],1977-3-1
['Marsh W L'],1977-3-1
"['Bitran J', 'Golomb H M', 'Rowley J D']",1977-1-1
"['Popescu N C', 'DiPaolo J A']",1977-3-15
"['Iijima T', 'Diesterhaft M D', 'Freese E']",1977-3-1
"['Spradling A', 'Pardue M L', 'Penman S']",1977-2-5
"['Sene F de M', 'de Magalhães L E']",1977-2-1
"['Lomax M I', 'Helling R B', 'Hecker L I', 'Schwartzbach S D', 'Barnett W E']",1977-4-8
"['Clausen O P', 'Gautvik K M', 'Lindmo T']",1977-3-17
"['Dileo P E', 'Müller H J', 'Obrecht H P', 'Speck B', 'Bühler E M', 'Stalder G R']",1977-1-1
"['Zanardi P', ""Dell'Acqua G"", 'Menini C', 'Barrai I']",1977-3-1
['Leibenguth F'],1977-2-1
"['Gray P W', 'Hallick R B']",1977-4-19
"['Emerit I', 'Feingold J', 'Levy A', 'Halpern B']",1977-1-1
"['Yamamoto M', 'Miklos G L']",1977-4-19
['Comins H N'],1977-4-7
['Franklin I R'],1977-2-1
"['Finaz C', 'Van Cong N', 'Cochet C', 'Frézal J', 'de Grouchy J']",1977-1-1
"['Pimpinelli S', 'Pignone D', 'Santini G', 'Gatti M', 'Olivieri G']",1977-2-1
['Mohler J D'],1977-2-1
"['Watanabe T K', 'Watanabe T']",1977-2-1
"['Roehrdanz R L', 'Kitchens J M', 'Lucchesi J C']",1977-3-1
"['Keppy D O', 'Welshons W J']",1977-3-1
['Chapco W'],1977-4-1
"['Nurse G T', 'Botha M C', 'Jenkins T']",1977-1-1
"['Frazier M L', 'Zimmerman L N']",1977-6-1
['Celis T F'],1977-6-1
['Kimball R F'],1977-1-1
"['Hirai M', 'Nakai S']",1977-4-1
['Amos D B'],1977-3-1
"['Glassberg J', 'Franck M', 'Stewart C R']",1977-5-15
"['Schwinghamer M W', 'Symons R H']",1977-6-1
['Nei M'],1977-5-1
"['Dedonder R A', 'Lepesant J A', 'Lepesant-Kejzlarová J', 'Billault A', 'Steinmetz M', 'Kunst F']",1977-4-1
['von Schilcher F'],1977-5-1
"['Womack J E', 'Davisson M T', 'Eicher E M', 'Kendall D A']",1977-4-1
"['Chovnick A', 'Gelbart W', 'McCarron M']",1977-5-1
"['Majolino I', 'Pasquali F', 'Francesconi D', 'Invernizzi R', 'Nalli G', 'Ascari E']",1977-4-1
"['Hall J E', 'Alper C A']",1977-7-1
"['Coco R', 'Penchaszadeh V B']",1977-3-1
"['Popescu N C', 'Turnbull D', 'DiPaolo J A']",1977-7-1
"['Koehn R K', 'Eanes W F']",1977-6-1
"['Corney G', 'Fisher R A', 'Cook P J', 'Noades J', 'Robson E B']",1977-5-1
"['Girard P', 'Palabost L', 'Petit C']",1977-6-1
"['Minowada J', 'Oshimura M', 'Tsubota T', 'Higby D J', 'Sandberg A A']",1977-9-1
"['Hershey N D', 'Conrad S E', 'Sodja A', 'Yen P H', 'Cohen M', 'Davidson N', 'Iigen C', 'Carbon J']",1977-7-1
['Contrafatto G'],1977-1-1
"['Waldschmidt R', 'Mueller-Eckhardt C']",1977-5-6
"['Mark H F', 'Zimmering S']",1977-5-1
['Nur U'],1977-5-1
"['Mukai T', 'Voelker R A']",1977-5-1
['Ganetzky B'],1977-6-1
['Lyttle T W'],1977-6-1
"['Langley C H', 'Ito K', 'Voelker R A']",1977-6-1
['Lande R'],1977-6-1
"['Neel J V', 'Gershowitz H', 'Spielman R S', 'Migliazza E C', 'Salzano F M', 'Oliver W J']",1977-6-30
"['Neiders M E', 'Morse H C', 'Lawton A R', 'Asofsky R']",1977-8-1
"['Gvozdev V A', 'Gerasimova T I', 'Kogan G L', 'Rosovsky J M']",1977-6-8
"['Mukai T', 'Cockerham C C']",1977-6-1
"['Markarian D S', 'Gvaramiia I A', 'Agrba V Z', 'Sanguliia I A']",1977-2-1
"['Hoste B', 'Brocteur J', 'Suys J', 'Andre A']",1977-7-5
['Spranger J'],1977-1-1
"['Kelly T E', 'Lichtenstein J R', 'Dorst J P']",1977-1-1
"['Carlson M', 'Brutlag D']",1977-6-1
"['Zuchowski C I', 'Harford A G']",1977-6-1
"['Harford A G', 'Zuchowski C I']",1977-6-1
"['Yen P H', 'Sodja A', 'Cohen M', 'Conrad S E', 'Wu M', 'Davidson N']",1977-8-1
"[""O'Donnell J"", 'Mandel H C', 'Krauss M', 'Sofer W']",1977-7-1
['Sandler L'],1977-7-1
"['Lee W H', 'Watanabe T K']",1977-7-1
"['San R H', 'Stich W', 'Stich H F']",1977-8-15
"['McCartney P R', 'Renwick J H', 'Munday M R']",1977-2-1
['Linney R'],1977-6-1
"['Birley A J', 'Beardmore J A']",1977-8-1
"['Cremers C W', 'Philipsen V M', 'Mali J W']",1977-7-1
"['Haas D', 'Holloway B W', 'Schamböck A', 'Leisinger T']",1977-7-7
"['Green R E', 'Zimmering S']",1977-6-1
['Huang S L'],1977-7-1
['Wienberg J'],1977-8-1
"['Weinstein D', 'Katz M L', 'Kazmer S']",1977-8-1
"['Golubovsky M D', 'Ivano Y N', 'Green M M']",1977-7-1
['Hood L'],1977-1-1
"['Cadman E C', 'Capizzi R L', 'Bertino J R']",1977-9-1
"['Kühnl P', 'Schwabenland R', 'Spielmann W']",1977-8-31
"['Ojikutu R O', 'Nurse G T', 'Jenkins T']",1977-1-1
['Hirschfeld J'],1977-9-1
['Endler J A'],1977-1-1
"['Alahiotis S', 'Miller S', 'Berger E']",1977-9-8
"['Tonegawa S', 'Brack C', 'Hozumi N', 'Schuller R']",1977-8-1
['Cunningham B A'],1977-10-1
"['Alimena G', 'Annino L', 'Balestrazzi P', 'Montuoro A', 'Dallapiccola B']",1977-1-1
"['Gorlin R J', 'Boggs W S']",1977-1-1
"['Walknowska J', 'Peakman D', 'Weleber R G']",1977-10-1
"['Silverman M', 'Simon M I']",1977-1-1
"['Parker C E', 'Mavalwala J', 'Alfi O S', 'Weise P', 'Menon R']",1977-11-1
"['Kocharian Sh M', 'Smirnov Iu V']",1977-1-1
['Gigon U'],1977-9-22
['Farmer J L'],1977-10-1
"['Kobayashi H', 'Kobayashi K', 'Kobayashi Y']",1977-10-1
"['Lindgren V', 'Holmgren E', 'Rutberg L']",1977-11-1
"['Piggot P J', 'Taylor S Y']",1977-9-1
['Petersen R C'],1977-7-1
"['Matsuyama S', 'Jarvik L']",1977-7-1
"['Obe G', 'Ristow H J', 'Herha J']",1977-1-1
['Levine M H'],1977-1-1
['Oakeshott J G'],1977-6-1
"['Ish-Horowicz D', 'Holden J J', 'Gehring W J']",1977-11-1
['Nissani M'],1977-8-1
"['Bleyman L K', 'Bruns P J']",1977-10-1
"['Hamers-Casterman C', 'Wittouck E', 'Florent G', 'Van der Loo W', 'De Baetselier P', 'Hamers R']",1977-10-1
['Howard-Peebles P N'],1977-7-1
"['Meruelo D', 'Deak B', 'McDevitt H O']",1977-11-1
"['Pisetsky D S', 'Sachs D H']",1977-12-1
"['Namba M', 'Nishitani K', 'Kimoto T']",1977-8-1
"['Sundar Raj C V', 'Church R L', 'Klobutcher L A', 'Ruddle F H']",1977-10-1
"['Laskin J A', 'Gray A', 'Nisonoff A', 'Klinman N R', 'Gottlieb P D']",1977-10-1
"['Rambach A', 'Hogness D S']",1977-11-1
"['Lambert G H', 'Nebert D W']",1977-10-1
"['Iakovenko K N', 'Nazarenko S A']",1977-7-1
"['Paufler S', 'Laerum A', 'Michelmann H W', 'Seidenkranz H G', 'Geldermann H', 'Perings E', 'Smidt D']",1977-9-1
"['Gupta R', 'Gupta M', 'Ramdeo I N']",1977-12-1
"['Buettner-Janusch J', 'Sockol M']",1977-11-1
"['Toomey K E', 'Mohandas T', 'Leisti J', 'Szalay G', 'Kaback M M']",1977-11-1
"['Tsutsui T', 'Umeda M', 'Maizumi H', 'Saito M']",1977-10-1
"['Hoch J A', 'Coukoulis H J']",1978-1-1
"['Belloni M P', 'Cozzi R', 'De Marco A', 'Pichler G', 'Venezia O']",1977-11-1
['Robertson M'],1977-10-20
"['Thompson J N', 'Ashburner M', 'Woodruff R C']",1977-11-24
"['Frenk E', 'Calame A']",1977-12-31
"['Haak H L', 'Hartgrink-Groeneveld C A', 'Eernisse J G', 'Speck B', 'van Rood J J']",1977-1-1
"['Fulton A B', 'Howard R O', 'Albert D M', 'Hsia Y E', 'Packman S']",1977-12-1
['Warburg M'],1978-1-1
"['Cook P J', 'Noades J E', 'Newton M S', 'De Mey R']",1977-10-1
"['Gray P W', 'Hallick R B']",1978-1-24
"['Lloyd D C', 'Reading D H', 'Purrott R J', 'Hynes M A', 'Spinks W S', 'Stephenson B D']",1978-1-1
"['Artavanis-Tsakonas S', 'Schedl P', 'Tschudi C', 'Pirrotta V', 'Steward R', 'Gehring W J']",1977-12-1
"['Berger R', 'Bernheim A']",1977-11-7
"['Meyerowitz E M', 'Kankel D R']",1978-1-1
"['Surkova N I', 'Malashenko A M']",1977-1-1
"['Johnson W E', 'Kohn P H', 'Steinberg A G']",1977-11-10
['Leigh B'],1978-1-1
"['Silhavy T J', 'Shuman H A', 'Beckwith J', 'Schwartz M']",1977-12-1
['Pechkurenkov V L'],1977-11-1
['Aleksandrov I D'],1977-11-1
"['Butnariu J', 'Olinici C D', 'Popescu A', 'Giurgiuman M']",1977-10-1
"['De Wit J', 'Hoeksema H L', 'Halley D', 'Hagemeijer A', 'Bootsma D', 'Westerveld A']",1977-7-1
"['Semenov Kh Kh', 'Malashenko A M']",1977-9-1
"['Egiazarian S V', 'Arutinunian R M']",1977-9-1
"['Ober C', 'Olivier T J', 'Buettner-Janusch J']",1978-1-1
"['Nurse G T', 'Jenkins T']",1977-9-1
"['Greim H', 'Bimboes D', 'Egert G', 'Göggelmann W', 'Krämer M']",1977-12-30
['Nazarenko S A'],1978-1-1
"['Akam M E', 'Roberts D B', 'Richards G P', 'Ashburner M']",1978-2-1
"['Henderson A S', 'Warburton D', 'Megraw-Ripley S', 'Atwood K C']",1977-1-1
"['Altukhov Iu P', 'Pobedonostseva E Iu']",1978-1-1
['Robbins L G'],1977-12-1
"['Malashenko A M', 'Semenov Kh Kh', 'Selezneva G P', 'Surkova N I']",1978-1-1
"['Perona G', 'Cetto G L', 'Bernardi F', 'Todeschini G', ""D'Andrea F""]",1977-12-1
['Semeonoff R'],1977-12-1
"['Thompson J N', 'Woodruff R C']",1978-2-1
['Lindgren V'],1978-2-1
"['Miwa J', 'Sadler J R']",1977-12-25
"['Sugiyama T', 'Uenaka H', 'Ueda N', 'Fukuhara S', 'Maeda S']",1978-1-1
['Dean B J'],1978-1-1
['Papa K E'],1977-11-1
"['McKenzie J A', 'McKechnie S W']",1978-3-2
"['Frankham R', 'Briscoe D A', 'Nurthen R K']",1978-3-2
['Ivanyi J'],1978-3-9
"['Trowsdale J', 'Sheflett M', 'Hoch J A']",1978-3-9
['Flessel C P'],1977-1-1
"['Sullivan P T', 'Blystad C', 'Stone W H']",1977-1-1
"['Greenberg L J', 'Yunis E J']",1978-1-1
"['Smith D B', 'Langley C H', 'Johnson F M']",1978-1-1
"['Ma N S', 'Jones T C', 'Bedard M T', 'Miller A', 'Morgan L', 'Adams E']",1977-11-1
"['Malek T R', 'Peterson B E', 'Hanly W C', 'Knight K L', 'Friedenson B']",1978-3-1
"['Hurme M', 'Hetherington C M', 'Chandler P R', 'Simpson E']",1978-3-1
"['Hurme M', 'Chandler P R', 'Hetherington C M', 'Simpson E']",1978-3-1
['Gvozdev V A'],1978-1-1
['Leipold H W'],1978-2-1
"['Socha W W', 'Moor-Jankowski J', 'Sackett G P']",1978-3-1
"['Lewis M', 'Kaita H', 'Chown B']",1977-12-1
"['Morrison W J', 'MacIntyre R J']",1978-3-1
['Holloway B W'],1978-3-1
"['Watson J M', 'Holloway B W']",1978-3-1
"['Kramers P G', 'Knaap A G']",1978-3-1
"['Michelmann H W', 'Maier P', 'Ficsor G', 'Feldman D B']",1978-3-1
"['Brewen J G', 'Preston R J']",1978-1-1
"['Smith M', 'Hirschhorn K']",1977-1-1
"['Das S K', 'Mukherjee B N', 'Malhotra K C', 'Majumder P P']",1978-1-1
['Chaventré A'],1978-1-1
"['García M', 'Miró R', 'Freitas L', 'Egozcue J']",1978-1-1
"['Gipson T G', 'Imamura M', 'Conliffe M A', 'Martin W J']",1978-5-1
"['Raveché E S', 'Steinberg A D', 'Klassen L W', 'Tjio J H']",1978-5-1
"['Blake N M', 'Kirk R L']",1978-2-25
"['Lanzino F', 'Tomasi G']",1977-9-1
"['Machavariani M G', 'Dzhemilev Z A']",1978-3-1
"['Olinici C D', 'Butnariu J', 'Grosu M', 'Dobay O']",1978-1-1
['Alaxmi V'],1978-2-1
['Howard R O'],1977-1-1
['McKusick V A'],1978-3-1
['Wood J W'],1978-5-1
"['Morris P J', 'Vaughan H', 'Tait B D', 'Mackay I R']",1977-12-1
"['Schabel F', 'Höpfel-Kreiner I', 'Müller W', 'Frisch H']",1979-1-1
['Healy J A'],1979-2-1
['Menkes J H'],1979-1-1
"['Démant P', 'Iványi D', 'van Nie R']",1979-1-1
